,Growth,Discount,Risk_Premium
1970-01-01,1.0064508963790249,-0.663476564090071,1.2057526364832514
1970-02-01,0.6833460778483269,-0.397594194101796,1.343221591931079
1970-03-01,0.5840211942249766,-0.39222034985046167,1.3449985200524412
1970-04-01,0.721808553562215,-0.7398093176988736,1.0747259335069919
1970-05-01,0.6721521880826747,-1.0134360016164445,1.011582963639002
1970-06-01,0.09388624394602443,-0.5531216655049649,1.2884114428666251
1970-07-01,-0.3898452657865219,-0.16111199951423508,1.3484526300527147
1970-08-01,-0.3070769302529782,-0.40439436957588193,1.0080185240482196
1970-09-01,-0.6655148608410844,-0.2384393518503018,1.0211129611376077
1970-10-01,-0.5557791580882017,-0.3212473687123107,1.1534888556275966
1970-11-01,-1.0990795237873632,-0.11730676384431882,1.4432851266675
1970-12-01,-1.1188069344394413,-0.181301056394166,1.4064887750548425
1971-01-01,-0.9239110782836277,-0.24375329074622415,1.1131189515354027
1971-02-01,-0.7501049608139582,-0.38891274460132097,0.8467556119615846
1971-03-01,-0.9294491216477784,-0.28513632602307754,0.7445625266806126
1971-04-01,-1.111098416962395,-0.05560579533671492,0.796547072029481
1971-05-01,-0.9856633553938812,0.07808031740696857,0.615405469817213
1971-06-01,-0.4752646473617021,-0.3227125123683496,0.26712281378267333
1971-07-01,-0.3260327138281654,-0.478203342833837,0.31766716221930485
1971-08-01,-0.3692683895580029,-0.3497080534767022,0.47209120452495407
1971-09-01,-0.1831810133616145,-0.4737135195152969,0.35112186700860776
1971-10-01,0.03941636679657261,-0.5819206009470217,0.030711995745186307
1971-11-01,0.44848209925468524,-0.7494536171710824,-0.3846734363094511
1971-12-01,0.7172056474859835,-0.8350219960571762,-0.5685653933501518
1972-01-01,0.6487544282375778,-0.8796447396013134,-0.4402504019348757
1972-02-01,0.9506512187879554,-1.1167267813841364,-0.5740019431851837
1972-03-01,1.2261653588673465,-1.2944739485417638,-0.5918294510084166
1972-04-01,1.414308538869372,-1.3360030499832725,-0.5910927121613021
1972-05-01,1.3932669463581955,-1.2538247540708243,-0.3528036179553138
1972-06-01,1.496492164998909,-1.3422308460735701,-0.14492727762729807
1972-07-01,1.5812178402394528,-1.1402800196077674,0.14640990327710496
1972-08-01,1.6377921791788208,-1.3997998108231682,0.12319783667804654
1972-09-01,1.970131133752018,-1.547796471293995,0.047649689621662716
1972-10-01,1.920663200753408,-1.6165945310642549,-0.07884476396009718
1972-11-01,2.188361774466651,-1.6296347487741538,-0.12367459552777496
1972-12-01,2.2498957669684803,-1.6387978162560342,-0.05215503334078495
1973-01-01,2.2424708552888544,-1.6006932308343211,0.08990695291292065
1973-02-01,2.072320598566324,-1.2747223482489978,0.34827464220417653
1973-03-01,2.190262963259083,-1.2665618757301267,0.3335579835535162
1973-04-01,2.172853830330818,-1.2824444741067789,0.2727552725814196
1973-05-01,2.1568113221026963,-1.3195613838564164,0.10310965307664977
1973-06-01,2.059184989341268,-1.285999791757112,-0.16095481037184448
1973-07-01,2.2044048767825832,-1.6324030085547965,-0.665516471182936
1973-08-01,2.102880081380651,-1.3342487805191945,-0.6783007362902558
1973-09-01,1.881538756165946,-1.1691447067800018,-0.26180193933413426
1973-10-01,1.6911504556899524,-0.8411648828677134,0.24035401780845303
1973-11-01,1.723708285366594,-1.0254709263032247,0.2016280979994458
1973-12-01,1.7606742865494125,-1.0950284394208576,0.21186776683644956
1974-01-01,1.5988508297083948,-1.0285607690670726,0.24380569300267954
1974-02-01,1.3995007521275666,-1.0116167721417777,0.3095341803054602
1974-03-01,1.2338696029542924,-1.0149688685856197,0.45104885254123633
1974-04-01,0.9983048792556277,-0.8585534816983251,0.6738185231531002
1974-05-01,0.9282753589768881,-0.8376173137143009,0.7858312780299779
1974-06-01,0.8330514728012189,-0.7039702219123137,1.1759191204083044
1974-07-01,0.5706513041067464,-0.44247737918413527,1.5901864333465645
1974-08-01,0.6431718957157959,-0.5849335238693985,1.8136308247187645
1974-09-01,0.458775066241349,-0.56423908078327,1.6838974045627637
1974-10-01,0.6029078157105652,-0.9806852795285136,1.353179274630701
1974-11-01,0.3048215783974966,-0.7952253557158331,1.5359582153768772
