series,r2_spx,beta_spx,p_value,corr_spx,n_obs,sig,r2_growth,r2_discount,r2_riskprem,r2_gap,assigned_bucket,assignment_method,passes_filter
L3_govt_spending_gdp_ratio,0.0271,1.2277,0.147,0.165,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L0_real_fed_funds,0.0254,-0.0039,0.1609,-0.159,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L3_federal_deficit_gdp_ratio,0.024,-0.9315,0.1724,-0.155,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L3_primary_deficit_gdp_ratio,0.0238,-0.9105,0.1746,-0.154,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L1_government_yoy,0.0234,0.7932,0.1786,0.153,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L1_iva_yoy,0.0233,0.005,0.1792,0.153,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L3_pce_services_yoy,0.023,-0.8721,0.182,-0.152,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L4_core_pce_yoy,0.0224,0.5608,0.1884,0.15,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L3_pce_yoy,0.0223,-0.505,0.189,-0.149,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L1_corp_cashflow_yoy,0.0212,-0.1189,0.2002,-0.146,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L1_mining_logging_yoy,0.0179,-0.1097,0.2397,-0.134,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L1_financial_activities_yoy,0.0166,-0.631,0.2582,-0.129,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L3_real_govt_spending_yoy,0.0153,0.3899,0.2774,0.124,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L3_real_dpi_yoy,0.015,-0.4037,0.2828,-0.122,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L1_real_disposable_income_yoy,0.015,-0.4037,0.2828,-0.122,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L3_inventory_change_gdp,0.015,-1.383,0.2816,-0.123,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L5_sp500_pe,0.0148,-0.0063,0.2855,-0.122,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L2_corp_debt_profits_ratio,0.0144,0.0087,0.2925,0.12,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L0_total_factor_productivity,0.0128,-0.003,0.3199,-0.113,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L5_equity_risk_premium,0.0123,0.0005,0.3314,0.111,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L2_mortgage_debt_yoy,0.012,-0.2015,0.3361,-0.11,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L1_comp_per_hour_yoy,0.0119,0.3606,0.3385,0.109,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L4_ulc_yoy,0.0087,0.2078,0.4123,0.094,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L0_oil_price,0.0085,0.002,0.7434,0.092,15,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L0_renewables_share,0.0072,0.7308,0.4944,0.085,67,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L0_labor_productivity,0.0069,-0.0014,0.4653,-0.083,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L2_consumer_credit_yoy,0.0067,-0.1165,0.4749,-0.082,79,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
