,Growth,Discount,Risk_Premium
L4_gdp_yoy,0.02548973908300473,0.13624969411827603,0.02203254465570609
L3_personal_saving_rate,-0.9413887385270272,0.4501601075106857,-0.6809070894501518
L3_spending_sustainability_ratio,0.9414000210558139,-0.4552777947993288,0.6209416486096726
L2_consumer_credit_dpi_ratio,0.8500765048869047,-0.835835190413415,0.7434492787316175
L3_inventory_sales_ratio,-0.588189935326136,0.4326321940091241,0.10199869841289556
L0_treasury_10y,-0.6219012830339015,1.0,-0.6568684576500813
L0_hy_credit_spread,-0.37345928770498305,-0.03970701346387179,0.11517599264167121
L5_cape,0.6409333315468637,-0.6945316912900296,0.9188783410735836
L5_equity_risk_premium,-0.6905968901232575,0.5136820433997635,-0.9202154465523218
