,fair_value,spx_actual,over_under_pct,over_under_pctile,over_under_zscore,r_f_mapped,erp_mapped,g_mapped,denom_raw,denom_smooth,denom_clipped,eps_raw,eps_smooth
1990-01-01,,339.96999999999997,,,,0.0664938763314651,0.04114196561954973,0.022948573733293905,0.08468726821772093,,,57.44623877551022,
1990-02-01,,330.44999999999993,,,,0.06912858326670461,0.04237082854581677,0.023200398753497223,0.08829901305902416,,,56.13460500000001,
1990-03-01,,338.46,,,,0.07039903172141276,0.045188458740676646,0.022517597652084716,0.09306989281000469,,,54.792603418803445,
1990-04-01,,338.1800000000001,,,,0.07191363229041171,0.04709269524840848,0.022132384836144943,0.09687394270267524,,,54.36247804034138,
1990-05-01,,350.2500000000001,,,,0.07185455064818029,0.04863232293827985,0.021601959721147656,0.09888491386531248,,,53.89219288390097,
1990-06-01,,360.39000000000016,,,,0.06945892493758783,0.04861948293711411,0.02102335738653958,0.09705505048816236,,,53.259327790608204,54.981240984860705
1990-07-01,,360.0299999999999,,,,0.06933918031718148,0.048386042249935424,0.02106740268143564,0.09665781988568126,,,53.454398466257686,54.76312062506027
1990-08-01,,330.75000000000006,,,,0.07113414924834341,0.04731059203142452,0.02172812372374799,0.09671661755601993,,,53.362617325227994,54.58805771258124
1990-09-01,,315.41000000000014,,,,0.07223831086508078,0.04612368216252337,0.022399988026736244,0.0959620050008679,,,53.312639939713684,54.44634462670707
1990-10-01,,307.11999999999995,,,,0.07084563620665821,0.044149694146703757,0.02282591237799734,0.09216941797536463,,,52.66823296329589,54.26853346036595
1990-11-01,,315.29,,,,0.06837988155996469,0.04313073476744142,0.022722673951142986,0.08878794237626313,,,52.22569760388641,54.082821109776894
1990-12-01,579.7089984371769,328.75000000000006,-0.4329051284588147,0.4655581947743468,,0.06588657049643362,0.04296142429560181,0.022258061526977766,0.08658993326505768,0.0929794847668462,0.0929794847668462,51.90149566517192,53.90104398939315
1991-01-01,572.5206585152579,325.48999999999995,-0.43147903021681877,0.4679334916864608,,0.06524894222265618,0.044077958070440786,0.021515993308643025,0.08781090698445394,0.09323978799740729,0.09323978799740729,51.214168791976235,53.381704824098655
1991-02-01,566.474839758202,362.2599999999999,-0.36050116514507624,0.5296912114014252,1.1545292315666977,0.06342460209930817,0.04726708398311601,0.019938788677031263,0.09075289740539291,0.09344427835960467,0.09344427835960467,50.76013843175074,52.93383261007788
1991-03-01,561.1619283327858,372.28000000000003,-0.33659077495502,0.5605700712589073,1.0914302357147538,0.06592544891229449,0.049787412354311916,0.019718895843077518,0.09599396542352889,0.09368795107739836,0.09368795107739836,50.475947555555585,52.57411128814056
