,Growth,Discount,Risk_Premium
L4_gdp_yoy,0.09706502947542936,0.1157559841647743,-0.049453774912397185
L3_personal_saving_rate,-0.9930309042880863,0.4425278763999116,-0.6900205295320129
L3_spending_sustainability_ratio,1.0078585654848753,-0.4461751938993309,0.6512105226724689
L2_consumer_credit_dpi_ratio,0.7924592626239372,-0.7712319357222455,0.7298524741127701
L3_inventory_sales_ratio,-0.42274985407364574,0.39034401276209546,0.2240645913677199
L0_treasury_10y,-0.5933281423172801,0.9055745125917458,-0.6491079051253702
L0_hy_credit_spread,-0.8196733443734616,-0.9652951893924862,0.5314853450132034
L5_cape,0.5908783190255054,-0.6399677480039568,0.6892138074988251
L5_equity_risk_premium,-0.5255161626360593,0.48540061726951883,-0.8307867529850609
